"Criterios (una letra por columna): CORRECTA = explica la decision del motor (la clase), no otra cosa; ANCLADA = solo cita hechos de la alerta (origen, activo, servicio, regla, rafaga): nada inventado ni de otro caso; COHERENTE = no contradice la clase ni el motivo real (origen declarado, exposicion, rafaga). Respuesta: s / n. Comentario libre en la ultima columna."
n;id_alerta;regla;familia;origen;activo;servicio;verdad;clase_motor;justificador;pasajes;justificacion;CORRECTA (s/n);ANCLADA (s/n);COHERENTE (s/n);comentario
11;1788194950.708112;5710;acceso_credenciales;192.168.1.1;objetivo-vuln;ssh;FP;fp_actividad_legitima;llm;descarte-origen-legitimo descarte-sin-exposicion vuln-objetivo-ssh;La alerta no es una amenaza debido a que el origen de la actividad (192.168.1.1) figura entre los origenes legitimos declarados por el cliente (administracion propia o auditoria autorizada), lo que indica que la senal corresponde a actividad esperada y no a un atacante.;;;;
12;1788194952.708604;5710;acceso_credenciales;192.168.1.1;objetivo-vuln;ssh;FP;fp_actividad_legitima;llm;descarte-origen-legitimo descarte-sin-exposicion vuln-objetivo-ssh;La alerta no es una amenaza debido a que el origen de la actividad (192.168.1.1) figura entre los origenes legitimos declarados por el cliente (administracion propia o auditoria autorizada), lo que indica que la senal corresponde a actividad esperada y no a un atacante.;;;;
13;1788194954.709128;5710;acceso_credenciales;192.168.1.1;objetivo-vuln;ssh;FP;fp_actividad_legitima;llm;descarte-origen-legitimo descarte-sin-exposicion vuln-objetivo-ssh;La alerta no es una amenaza debido a que el origen de la actividad (192.168.1.1) figura entre los origenes legitimos declarados por el cliente (administracion propia o auditoria autorizada), lo que indica que la senal corresponde a actividad esperada y no a un atacante.;;;;
14;1788194958.709656;5710;acceso_credenciales;192.168.1.1;objetivo-vuln;ssh;FP;fp_actividad_legitima;llm;descarte-origen-legitimo descarte-sin-exposicion vuln-objetivo-ssh;La alerta no es una amenaza debido a que el origen de la actividad (192.168.1.1) figura entre los origenes legitimos declarados por el cliente (administracion propia o auditoria autorizada), lo que indica que la senal corresponde a actividad esperada y no a un atacante.;;;;
15;1788194960.710148;5710;acceso_credenciales;192.168.1.1;objetivo-vuln;ssh;FP;fp_actividad_legitima;llm;descarte-origen-legitimo descarte-sin-exposicion vuln-objetivo-ssh;La alerta no es una amenaza debido a que el origen de la actividad (192.168.1.1) figura entre los origenes legitimos declarados por el cliente (administracion propia o auditoria autorizada), lo que indica que la senal corresponde a actividad esperada y no a un atacante.;;;;
16;1788194962.710672;5710;acceso_credenciales;192.168.1.1;objetivo-vuln;ssh;FP;fp_actividad_legitima;llm;descarte-origen-legitimo descarte-sin-exposicion vuln-objetivo-ssh;La alerta no es una amenaza debido a que el origen de la actividad (192.168.1.1) figura entre los origenes legitimos declarados por el cliente (administracion propia o auditoria autorizada), lo que indica que la senal corresponde a actividad esperada y no a un atacante.;;;;
17;1788194966.711200;5710;acceso_credenciales;192.168.1.1;objetivo-vuln;ssh;FP;fp_actividad_legitima;llm;descarte-origen-legitimo descarte-sin-exposicion vuln-objetivo-ssh;La alerta no es una amenaza debido a que el origen de la actividad (192.168.1.1) figura entre los origenes legitimos declarados por el cliente (administracion propia o auditoria autorizada), lo que indica que la senal corresponde a actividad esperada y no a un atacante.;;;;
18;1788194968.711692;5712;acceso_credenciales;192.168.1.1;objetivo-vuln;ssh;FP;fp_actividad_legitima;llm;descarte-origen-legitimo descarte-sin-exposicion vuln-objetivo-ssh;La alerta no es una amenaza debido a que el origen de la actividad (192.168.1.1) figura entre los origenes legitimos declarados por el cliente (administracion propia o auditoria autorizada), lo que indica que la senal corresponde a actividad esperada y no a un atacante.;;;;
19;1789089714.114605;5706;reconocimiento;192.168.1.10;objetivo-vuln;ssh;VP;vp_intento_acceso;llm;d3fend-D3-NTF mapeo-reconocimiento mitre-T1046;"La alerta vp_intento_acceso se debe a que el origen 192.168.1.10 intentó realizar un reconocimiento del servicio ssh en el activo objetivo-vuln, lo que se corresponde con la técnica MITRE T1021.004 ""Did not receive identification string"" del sshd.";;;;
20;1789089716.114986;5706;reconocimiento;192.168.1.10;objetivo-vuln;ssh;VP;vp_intento_acceso;llm;d3fend-D3-NTF mapeo-reconocimiento mitre-T1046;"La alerta vp_intento_acceso se debe a que el origen 192.168.1.10 intentó realizar un reconocimiento del servicio ssh en el activo objetivo-vuln, lo que se corresponde con la técnica MITRE T1021.004 ""Did not receive identification string"" del sshd.";;;;
21;1789089718.115367;5706;reconocimiento;192.168.1.10;objetivo-vuln;ssh;VP;vp_intento_acceso;llm;d3fend-D3-NTF mapeo-reconocimiento mitre-T1046;"La alerta vp_intento_acceso se debe a que el origen 192.168.1.10 intentó realizar un reconocimiento del servicio ssh en el activo objetivo-vuln, lo que se corresponde con la técnica MITRE T1021.004 ""Did not receive identification string"" del sshd.";;;;
22;1789089720.115748;5706;reconocimiento;192.168.1.10;objetivo-vuln;ssh;VP;vp_intento_acceso;llm;d3fend-D3-NTF mapeo-reconocimiento mitre-T1046;"La alerta vp_intento_acceso se debe a que el origen 192.168.1.10 intentó realizar un reconocimiento del servicio ssh en el activo objetivo-vuln, lo que se corresponde con la técnica MITRE T1021.004 ""Did not receive identification string"" del sshd.";;;;
23;1789089722.116129;5706;reconocimiento;192.168.1.10;objetivo-vuln;ssh;VP;vp_intento_acceso;llm;d3fend-D3-NTF mapeo-reconocimiento mitre-T1046;"La alerta vp_intento_acceso se debe a que el origen 192.168.1.10 intentó realizar un reconocimiento del servicio ssh en el activo objetivo-vuln, lo que se corresponde con la técnica MITRE T1021.004 ""Did not receive identification string"" del sshd.";;;;
24;1789089724.116510;5706;reconocimiento;192.168.1.10;objetivo-vuln;ssh;VP;vp_intento_acceso;llm;d3fend-D3-NTF mapeo-reconocimiento mitre-T1046;"La alerta vp_intento_acceso se debe a que el origen 192.168.1.10 intentó realizar un reconocimiento del servicio ssh en el activo objetivo-vuln, lo que se corresponde con la técnica MITRE T1021.004 ""Did not receive identification string"" del sshd.";;;;
25;1789089726.116891;5701;reconocimiento;192.168.1.10;objetivo-vuln;ssh;VP;vp_intento_acceso;llm;mapeo-reconocimiento d3fend-D3-NTF mapeo-acceso_credenciales;La alerta vp_intento_acceso se debe a que el origen 192.168.1.10 está utilizando la técnica MITRE T1190 (Enumeración de protocolos) para intentar acceder al servicio SSH expuesto en el activo objetivo-vuln, lo que podría ser un precursor de un ataque más complejo.;;;;
26;1789089728.117309;5701;reconocimiento;192.168.1.10;objetivo-vuln;ssh;VP;vp_intento_acceso;llm;mapeo-reconocimiento d3fend-D3-NTF mapeo-acceso_credenciales;La alerta vp_intento_acceso se debe a que el origen 192.168.1.10 está utilizando la técnica MITRE T1190 (Enumeración de protocolos) para intentar acceder al servicio SSH expuesto en el activo objetivo-vuln, lo que podría ser un precursor de un ataque más complejo.;;;;
27;1789089730.117727;5701;reconocimiento;192.168.1.10;objetivo-vuln;ssh;VP;vp_intento_acceso;llm;mapeo-reconocimiento d3fend-D3-NTF mapeo-acceso_credenciales;La alerta vp_intento_acceso se debe a que el origen 192.168.1.10 está utilizando la técnica MITRE T1190 (Enumeración de protocolos) para intentar acceder al servicio SSH expuesto en el activo objetivo-vuln, lo que podría ser un precursor de un ataque más complejo.;;;;
28;1789089732.118145;5706;reconocimiento;192.168.1.1;objetivo-vuln;ssh;FP;fp_actividad_legitima;llm;descarte-origen-legitimo descarte-sin-exposicion vuln-objetivo-ssh;La alerta no es una amenaza debido a que el origen de la actividad (192.168.1.1) figura entre los origenes legitimos declarados por el cliente (administracion propia o auditoria autorizada), lo que indica que la senal corresponde a actividad esperada y no a un atacante.;;;;
29;1789089734.118524;5706;reconocimiento;192.168.1.1;objetivo-vuln;ssh;FP;fp_actividad_legitima;llm;descarte-origen-legitimo descarte-sin-exposicion vuln-objetivo-ssh;La alerta no es una amenaza debido a que el origen de la actividad (192.168.1.1) figura entre los origenes legitimos declarados por el cliente (administracion propia o auditoria autorizada), lo que indica que la senal corresponde a actividad esperada y no a un atacante.;;;;
30;1789089736.118903;5706;reconocimiento;192.168.1.1;objetivo-vuln;ssh;FP;fp_actividad_legitima;llm;descarte-origen-legitimo descarte-sin-exposicion vuln-objetivo-ssh;La alerta no es una amenaza debido a que el origen de la actividad (192.168.1.1) figura entre los origenes legitimos declarados por el cliente (administracion propia o auditoria autorizada), lo que indica que la senal corresponde a actividad esperada y no a un atacante.;;;;
31;1789089738.119282;5706;reconocimiento;192.168.1.1;objetivo-vuln;ssh;FP;fp_actividad_legitima;llm;descarte-origen-legitimo descarte-sin-exposicion vuln-objetivo-ssh;La alerta no es una amenaza debido a que el origen de la actividad (192.168.1.1) figura entre los origenes legitimos declarados por el cliente (administracion propia o auditoria autorizada), lo que indica que la senal corresponde a actividad esperada y no a un atacante.;;;;
32;1789139213.847356;5503;acceso_credenciales;192.168.1.1;objetivo-vuln;ssh;VP;vp_intento_acceso;llm;mapeo-acceso_credenciales mitre-T1021 d3fend-D3-NTF;La alerta vp_intento_acceso se clasificó como alto riesgo debido a que la rafaga de 20 alertas del mismo origen en un minuto (umbral 9) pesa más que la procedencia declarada, lo que sugiere que el origen puede estar suplantado o que el equipo está comprometido. Esto es especialmente preocupante dado que el activo afectado es objetivo-vuln, que expone servicios como SSH, X11, ajp13, ccproxy-ftp, ftp y otros, y el origen de la actividad es 192.168.1.1, que figura entre los orígenes legítimos declarados por el cliente.;;;;
33;1789139215.847886;5503;acceso_credenciales;192.168.1.10;objetivo-vuln;ssh;FP;vp_intento_acceso;llm;mapeo-acceso_credenciales mitre-T1021 d3fend-D3-NTF;La alerta vp_intento_acceso se debe a que el motor de seguridad detectó un intento de acceso no autorizado a la cuenta de SSH en el activo objetivo-vuln, ubicado en la dirección 192.168.1.10, utilizando la técnica de adivinación de contraseñas por SSH (MITRE T1110.001).;;;;
34;1789139217.848426;5760;acceso_credenciales;192.168.1.1;objetivo-vuln;ssh;VP;vp_intento_acceso;llm;mapeo-acceso_credenciales mitre-T1021 mitre-T1021.004;"La alerta de ""vp_intento_acceso"" se generó debido a una rafaga de 20 intentos de acceso a la máquina ""objetivo-vuln"" en un minuto, lo que supera el umbral de 9. A pesar de que el origen de la actividad (192.168.1.1) está declarado como legítimo, la intensidad de la rafaga de intentos de acceso pesa más que la procedencia declarada, lo que sugiere que el origen puede estar suplantado o que el equipo está comprometido. El servicio SSH está expuesto en la máquina ""objetivo-vuln"" y es posible que el atacante esté intentando acceder a ella utilizando la técnica MITRE T1021.004.";;;;
35;1789139219.848901;5760;acceso_credenciales;192.168.1.10;objetivo-vuln;ssh;FP;vp_intento_acceso;llm;mapeo-acceso_credenciales mitre-T1021 mitre-T1021.004;La alerta vp_intento_acceso se debe a que el motor de seguridad detectó un intento de acceso no autorizado a través del servicio SSH en el activo objetivo-vuln, proveniente de la dirección IP 192.168.1.10.;;;;
36;1789139221.849386;5503;acceso_credenciales;192.168.1.1;objetivo-vuln;ssh;VP;vp_intento_acceso;llm;mapeo-acceso_credenciales mitre-T1021 d3fend-D3-NTF;La alerta vp_intento_acceso se clasificó como alto riesgo debido a que la rafaga de 20 alertas del mismo origen en un minuto (umbral 9) pesa más que la procedencia declarada, lo que sugiere que el origen puede estar suplantado o que el equipo está comprometido. Esto es especialmente preocupante dado que el activo afectado es objetivo-vuln, que expone servicios como SSH, X11, ajp13, ccproxy-ftp, ftp y otros, y el origen de la actividad es 192.168.1.1, que figura entre los orígenes legítimos declarados por el cliente.;;;;
37;1789139223.849916;5760;acceso_credenciales;192.168.1.1;objetivo-vuln;ssh;VP;vp_intento_acceso;llm;mapeo-acceso_credenciales mitre-T1021 mitre-T1021.004;"La alerta de ""vp_intento_acceso"" se generó debido a una rafaga de 20 intentos de acceso a la máquina ""objetivo-vuln"" en un minuto, lo que supera el umbral de 9. A pesar de que el origen de la actividad (192.168.1.1) está declarado como legítimo, la intensidad de la rafaga de intentos de acceso pesa más que la procedencia declarada, lo que sugiere que el origen puede estar suplantado o que el equipo está comprometido. El servicio SSH está expuesto en la máquina ""objetivo-vuln"" y es posible que el atacante esté intentando acceder a ella utilizando la técnica MITRE T1021.004.";;;;
38;1789139225.850391;5503;acceso_credenciales;192.168.1.1;objetivo-vuln;ssh;VP;vp_intento_acceso;llm;mapeo-acceso_credenciales mitre-T1021 d3fend-D3-NTF;La alerta vp_intento_acceso se clasificó como alto riesgo debido a que la rafaga de 20 alertas del mismo origen en un minuto (umbral 9) pesa más que la procedencia declarada, lo que sugiere que el origen puede estar suplantado o que el equipo está comprometido. Esto es especialmente preocupante dado que el activo afectado es objetivo-vuln, que expone servicios como SSH, X11, ajp13, ccproxy-ftp, ftp y otros, y el origen de la actividad es 192.168.1.1, que figura entre los orígenes legítimos declarados por el cliente.;;;;
39;1789139235.852423;5760;acceso_credenciales;192.168.1.1;objetivo-vuln;ssh;VP;vp_intento_acceso;llm;mapeo-acceso_credenciales mitre-T1021 mitre-T1021.004;"La alerta de ""vp_intento_acceso"" se generó debido a una rafaga de 20 intentos de acceso a la máquina ""objetivo-vuln"" en un minuto, lo que supera el umbral de 9. A pesar de que el origen de la actividad (192.168.1.1) está declarado como legítimo, la intensidad de la rafaga de intentos de acceso pesa más que la procedencia declarada, lo que sugiere que el origen puede estar suplantado o que el equipo está comprometido. El servicio SSH está expuesto en la máquina ""objetivo-vuln"" y es posible que el atacante esté intentando acceder a ella utilizando la técnica MITRE T1021.004.";;;;
40;1789139237.852898;5503;acceso_credenciales;192.168.1.1;objetivo-vuln;ssh;VP;vp_intento_acceso;llm;mapeo-acceso_credenciales mitre-T1021 d3fend-D3-NTF;La alerta vp_intento_acceso se clasificó como alto riesgo debido a que la rafaga de 20 alertas del mismo origen en un minuto (umbral 9) pesa más que la procedencia declarada, lo que sugiere que el origen puede estar suplantado o que el equipo está comprometido. Esto es especialmente preocupante dado que el activo afectado es objetivo-vuln, que expone servicios como SSH, X11, ajp13, ccproxy-ftp, ftp y otros, y el origen de la actividad es 192.168.1.1, que figura entre los orígenes legítimos declarados por el cliente.;;;;
41;1789139239.853428;5760;acceso_credenciales;192.168.1.1;objetivo-vuln;ssh;VP;vp_intento_acceso;llm;mapeo-acceso_credenciales mitre-T1021 mitre-T1021.004;"La alerta de ""vp_intento_acceso"" se generó debido a una rafaga de 20 intentos de acceso a la máquina ""objetivo-vuln"" en un minuto, lo que supera el umbral de 9. A pesar de que el origen de la actividad (192.168.1.1) está declarado como legítimo, la intensidad de la rafaga de intentos de acceso pesa más que la procedencia declarada, lo que sugiere que el origen puede estar suplantado o que el equipo está comprometido. El servicio SSH está expuesto en la máquina ""objetivo-vuln"" y es posible que el atacante esté intentando acceder a ella utilizando la técnica MITRE T1021.004.";;;;
42;1789139241.853903;5503;acceso_credenciales;192.168.1.1;objetivo-vuln;ssh;VP;vp_intento_acceso;llm;mapeo-acceso_credenciales mitre-T1021 d3fend-D3-NTF;La alerta vp_intento_acceso se clasificó como alto riesgo debido a que la rafaga de 20 alertas del mismo origen en un minuto (umbral 9) pesa más que la procedencia declarada, lo que sugiere que el origen puede estar suplantado o que el equipo está comprometido. Esto es especialmente preocupante dado que el activo afectado es objetivo-vuln, que expone servicios como SSH, X11, ajp13, ccproxy-ftp, ftp y otros, y el origen de la actividad es 192.168.1.1, que figura entre los orígenes legítimos declarados por el cliente.;;;;
43;1789139243.854433;5760;acceso_credenciales;192.168.1.1;objetivo-vuln;ssh;VP;vp_intento_acceso;llm;mapeo-acceso_credenciales mitre-T1021 mitre-T1021.004;"La alerta de ""vp_intento_acceso"" se generó debido a una rafaga de 20 intentos de acceso a la máquina ""objetivo-vuln"" en un minuto, lo que supera el umbral de 9. A pesar de que el origen de la actividad (192.168.1.1) está declarado como legítimo, la intensidad de la rafaga de intentos de acceso pesa más que la procedencia declarada, lo que sugiere que el origen puede estar suplantado o que el equipo está comprometido. El servicio SSH está expuesto en la máquina ""objetivo-vuln"" y es posible que el atacante esté intentando acceder a ella utilizando la técnica MITRE T1021.004.";;;;
44;1789139245.854908;5503;acceso_credenciales;192.168.1.1;objetivo-vuln;ssh;VP;vp_intento_acceso;llm;mapeo-acceso_credenciales mitre-T1021 d3fend-D3-NTF;La alerta vp_intento_acceso se clasificó como alto riesgo debido a que la rafaga de 20 alertas del mismo origen en un minuto (umbral 9) pesa más que la procedencia declarada, lo que sugiere que el origen puede estar suplantado o que el equipo está comprometido. Esto es especialmente preocupante dado que el activo afectado es objetivo-vuln, que expone servicios como SSH, X11, ajp13, ccproxy-ftp, ftp y otros, y el origen de la actividad es 192.168.1.1, que figura entre los orígenes legítimos declarados por el cliente.;;;;
45;1789139247.855438;5760;acceso_credenciales;192.168.1.1;objetivo-vuln;ssh;VP;vp_intento_acceso;llm;mapeo-acceso_credenciales mitre-T1021 mitre-T1021.004;"La alerta de ""vp_intento_acceso"" se generó debido a una rafaga de 20 intentos de acceso a la máquina ""objetivo-vuln"" en un minuto, lo que supera el umbral de 9. A pesar de que el origen de la actividad (192.168.1.1) está declarado como legítimo, la intensidad de la rafaga de intentos de acceso pesa más que la procedencia declarada, lo que sugiere que el origen puede estar suplantado o que el equipo está comprometido. El servicio SSH está expuesto en la máquina ""objetivo-vuln"" y es posible que el atacante esté intentando acceder a ella utilizando la técnica MITRE T1021.004.";;;;
46;1789139249.855913;5503;acceso_credenciales;192.168.1.1;objetivo-vuln;ssh;VP;vp_intento_acceso;llm;mapeo-acceso_credenciales mitre-T1021 d3fend-D3-NTF;La alerta vp_intento_acceso se clasificó como alto riesgo debido a que la rafaga de 20 alertas del mismo origen en un minuto (umbral 9) pesa más que la procedencia declarada, lo que sugiere que el origen puede estar suplantado o que el equipo está comprometido. Esto es especialmente preocupante dado que el activo afectado es objetivo-vuln, que expone servicios como SSH, X11, ajp13, ccproxy-ftp, ftp y otros, y el origen de la actividad es 192.168.1.1, que figura entre los orígenes legítimos declarados por el cliente.;;;;
47;1789139251.856443;5760;acceso_credenciales;192.168.1.1;objetivo-vuln;ssh;VP;vp_intento_acceso;llm;mapeo-acceso_credenciales mitre-T1021 mitre-T1021.004;"La alerta de ""vp_intento_acceso"" se generó debido a una rafaga de 20 intentos de acceso a la máquina ""objetivo-vuln"" en un minuto, lo que supera el umbral de 9. A pesar de que el origen de la actividad (192.168.1.1) está declarado como legítimo, la intensidad de la rafaga de intentos de acceso pesa más que la procedencia declarada, lo que sugiere que el origen puede estar suplantado o que el equipo está comprometido. El servicio SSH está expuesto en la máquina ""objetivo-vuln"" y es posible que el atacante esté intentando acceder a ella utilizando la técnica MITRE T1021.004.";;;;
48;1789139253.856918;5551;acceso_credenciales;192.168.1.1;objetivo-vuln;ssh;VP;vp_intento_acceso;llm;mitre-T1021 mapeo-acceso_credenciales mitre-T1110;La alerta vp_intento_acceso se clasificó como importante debido a que la rafaga de 20 alertas del mismo origen en un minuto (umbral 9) pesa más que la procedencia declarada, lo que sugiere un posible intento de suplantación de origen o compromiso de equipo. El origen de la actividad es 192.168.1.1 y el activo afectado es objetivo-vuln, servicio ssh.;;;;
49;1789139255.858583;5763;acceso_credenciales;192.168.1.1;objetivo-vuln;ssh;VP;vp_intento_acceso;llm;mitre-T1021 mapeo-acceso_credenciales mitre-T1110;La alerta vp_intento_acceso se clasificó como importante debido a que la rafaga de 20 alertas del mismo origen en un minuto (umbral 9) pesa más que la procedencia declarada, lo que sugiere un posible intento de suplantación de origen o compromiso de equipo. El origen de la actividad es 192.168.1.1 y el activo afectado es objetivo-vuln, servicio ssh.;;;;
50;1789139257.859829;5503;acceso_credenciales;192.168.1.1;objetivo-vuln;ssh;VP;vp_intento_acceso;llm;mapeo-acceso_credenciales mitre-T1021 d3fend-D3-NTF;La alerta vp_intento_acceso se clasificó como alto riesgo debido a que la rafaga de 20 alertas del mismo origen en un minuto (umbral 9) pesa más que la procedencia declarada, lo que sugiere que el origen puede estar suplantado o que el equipo está comprometido. Esto es especialmente preocupante dado que el activo afectado es objetivo-vuln, que expone servicios como SSH, X11, ajp13, ccproxy-ftp, ftp y otros, y el origen de la actividad es 192.168.1.1, que figura entre los orígenes legítimos declarados por el cliente.;;;;
51;1789139259.860359;5760;acceso_credenciales;192.168.1.1;objetivo-vuln;ssh;VP;vp_intento_acceso;llm;mapeo-acceso_credenciales mitre-T1021 mitre-T1021.004;"La alerta de ""vp_intento_acceso"" se generó debido a una rafaga de 20 intentos de acceso a la máquina ""objetivo-vuln"" en un minuto, lo que supera el umbral de 9. A pesar de que el origen de la actividad (192.168.1.1) está declarado como legítimo, la intensidad de la rafaga de intentos de acceso pesa más que la procedencia declarada, lo que sugiere que el origen puede estar suplantado o que el equipo está comprometido. El servicio SSH está expuesto en la máquina ""objetivo-vuln"" y es posible que el atacante esté intentando acceder a ella utilizando la técnica MITRE T1021.004.";;;;
52;1789139261.860834;5503;acceso_credenciales;192.168.1.1;objetivo-vuln;ssh;VP;vp_intento_acceso;llm;mapeo-acceso_credenciales mitre-T1021 d3fend-D3-NTF;La alerta vp_intento_acceso se clasificó como alto riesgo debido a que la rafaga de 20 alertas del mismo origen en un minuto (umbral 9) pesa más que la procedencia declarada, lo que sugiere que el origen puede estar suplantado o que el equipo está comprometido. Esto es especialmente preocupante dado que el activo afectado es objetivo-vuln, que expone servicios como SSH, X11, ajp13, ccproxy-ftp, ftp y otros, y el origen de la actividad es 192.168.1.1, que figura entre los orígenes legítimos declarados por el cliente.;;;;
53;1789139263.861364;5760;acceso_credenciales;192.168.1.1;objetivo-vuln;ssh;VP;vp_intento_acceso;llm;mapeo-acceso_credenciales mitre-T1021 mitre-T1021.004;"La alerta de ""vp_intento_acceso"" se generó debido a una rafaga de 20 intentos de acceso a la máquina ""objetivo-vuln"" en un minuto, lo que supera el umbral de 9. A pesar de que el origen de la actividad (192.168.1.1) está declarado como legítimo, la intensidad de la rafaga de intentos de acceso pesa más que la procedencia declarada, lo que sugiere que el origen puede estar suplantado o que el equipo está comprometido. El servicio SSH está expuesto en la máquina ""objetivo-vuln"" y es posible que el atacante esté intentando acceder a ella utilizando la técnica MITRE T1021.004.";;;;
54;1789139326.861839;5503;acceso_credenciales;192.168.1.1;objetivo-vuln;ssh;FP;fp_actividad_legitima;llm;descarte-origen-legitimo descarte-sin-exposicion vuln-objetivo-ssh;La alerta no es una amenaza debido a que el origen de la actividad (192.168.1.1) figura entre los origenes legitimos declarados por el cliente (administracion propia o auditoria autorizada), lo que indica que la actividad corresponde a una acción esperada y no a un ataque.;;;;
55;1789139328.862369;5760;acceso_credenciales;192.168.1.1;objetivo-vuln;ssh;FP;fp_actividad_legitima;llm;descarte-origen-legitimo descarte-sin-exposicion vuln-objetivo-ssh;La alerta no es una amenaza porque el origen de la actividad (192.168.1.1) figura entre los origenes legitimos declarados por el cliente (administracion propia o auditoria autorizada), lo que indica que la actividad corresponde a una acción esperada y no a un ataque.;;;;
56;1789139330.862844;5710;acceso_credenciales;192.168.1.10;objetivo-vuln;ssh;VP;vp_intento_acceso;llm;mapeo-acceso_credenciales mitre-T1021 mitre-T1021.004;La alerta vp_intento_acceso se debe a que el motor de seguridad detectó un intento de acceso no autorizado a través del servicio SSH en el activo objetivo-vuln, proveniente de la dirección IP 192.168.1.10.;;;;
57;1789139332.863338;5710;acceso_credenciales;192.168.1.10;objetivo-vuln;ssh;VP;vp_intento_acceso;llm;mapeo-acceso_credenciales mitre-T1021 mitre-T1021.004;La alerta vp_intento_acceso se debe a que el motor de seguridad detectó un intento de acceso no autorizado a través del servicio SSH en el activo objetivo-vuln, proveniente de la dirección IP 192.168.1.10.;;;;
